,Motion_Sensor1,Motion_Sensor2,Motion_Sensor3,Motion_Sensor4,Motion_Sensor5,Motion_Sensor6,Motion_Sensor7,Motion_Sensor8,Motion_Sensor9,Motion_Sensor10,Camera1,Camera2,Camera3,Camera4,robot1,robot2,door_sensor1,door_sensor2,door_sensor3,door_sensor4,door_sensor5,door_sensor6,door_sensor7,door_sensor8,door_sensor9,door_sensor10,door_sensor11,time,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,outside
49,no motion,no motion,no motion,no motion,no motion,no motion,no motion,motion,no motion,no motion,2.0,1.0,1.0,3.0,"('outside', 1)","('c1', 0)",0,0,0,0,0,1,1,0,0,1,0,08:12:30,1,2,4,0,0,2,2,0,3,3,0,2,2,1
50,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,0.0,1.0,2.0,"('r3', 5)","('r3', 5)",1,0,0,0,0,1,0,0,0,0,1,08:12:45,2,1,5,0,0,2,3,0,4,2,0,1,2,0
51,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,1.0,1.0,1.0,"('r3', 4)","('r3', 4)",1,1,0,0,1,0,0,0,0,0,0,08:13:00,3,1,4,0,2,0,3,0,4,2,1,1,1,0
52,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,3.0,1.0,1.0,"('outside', 1)","('r3', 3)",2,0,0,2,0,1,0,0,1,0,0,08:13:15,3,1,3,2,0,0,4,0,3,2,0,2,1,1
53,no motion,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,3.0,2.0,1.0,3.0,"('r3', 3)","('outside', 1)",1,0,0,0,0,0,0,0,1,2,0,08:13:30,2,2,3,1,0,0,3,0,3,3,1,0,3,1
54,no motion,no motion,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,1.0,1.0,1.0,1.0,"('c1', 0)","('outside', 0)",1,0,0,0,0,1,0,0,0,1,2,08:13:45,1,4,4,1,0,0,3,0,2,3,0,3,1,0
55,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,4.0,2.0,1.0,2.0,"('r4', 1)","('outside', 0)",2,0,0,0,0,1,0,0,0,1,2,08:14:00,3,1,4,1,0,0,3,0,4,2,0,1,3,0
56,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,2.0,1.0,2.0,"('c1', 0)","('outside', 0)",1,0,0,0,0,2,2,0,1,0,0,08:14:15,2,2,4,1,0,0,4,0,2,2,0,2,3,0
57,no motion,no motion,no motion,no motion,no motion,no motion,no motion,motion,no motion,no motion,3.0,2.0,1.0,2.0,"('r3', 4)","('r3', 4)",0,0,0,0,0,1,0,1,1,1,0,08:14:30,2,1,4,1,0,0,3,1,3,2,0,2,3,0
58,no motion,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,3.0,1.0,2.0,1.0,"('outside', 1)","('r3', 3)",0,0,0,0,0,1,2,0,0,1,1,08:14:45,2,2,3,0,0,0,4,1,3,3,1,2,0,1
59,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,4.0,1.0,1.0,2.0,"('outside', 0)","('outside', 0)",1,1,0,0,0,0,0,1,2,0,0,08:15:00,4,0,4,0,0,0,3,0,3,3,3,0,2,0
60,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,5.0,3.0,1.0,1.0,"('r3', 4)","('r3', 4)",0,0,2,0,0,1,0,0,1,0,0,08:15:15,4,1,4,2,0,0,2,0,2,3,1,2,1,0
61,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,1.0,1.0,1.0,"('outside', 0)","('r3', 5)",1,1,1,1,0,0,1,0,1,0,0,08:15:30,3,2,5,0,1,0,3,0,2,4,1,1,0,0
62,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,4.0,1.0,1.0,1.0,"('r3', 6)","('c1', 0)",0,1,0,0,1,0,1,0,0,1,1,08:15:45,3,1,6,0,0,1,4,0,2,4,0,0,1,0
63,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,1.0,1.0,3.0,"('r3', 6)","('r4', 0)",0,0,0,0,0,1,0,0,2,0,0,08:16:00,3,1,6,0,0,1,2,0,1,2,0,1,5,0
64,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,4.0,1.0,1.0,1.0,"('r3', 4)","('c1', 0)",2,0,0,0,0,1,0,0,1,3,0,08:16:15,3,5,4,0,0,1,1,0,2,2,0,0,2,2
65,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,1.0,1.0,3.0,"('c1', 0)","('r3', 2)",1,0,0,0,0,1,0,0,0,2,1,08:16:30,3,6,2,0,0,1,1,0,1,1,0,1,2,4
66,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,4.0,1.0,1.0,3.0,"('r3', 1)","('outside', 4)",1,0,0,0,0,0,0,0,1,2,0,08:16:45,3,4,1,0,0,1,2,0,1,1,1,0,4,4
67,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,6.0,1.0,1.0,2.0,"('r3', 2)","('r3', 2)",0,1,0,0,0,0,0,0,0,2,1,08:17:00,6,1,2,0,0,1,2,0,1,2,0,1,2,4
68,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,7.0,1.0,1.0,2.0,"('outside', 5)","('outside', 5)",1,0,0,0,0,0,0,0,1,1,0,08:17:15,6,3,1,0,0,1,1,0,1,2,0,0,2,5
69,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,7.0,1.0,0.0,3.0,"('r3', 3)","('outside', 3)",1,0,0,0,0,0,0,0,0,2,1,08:17:30,7,0,3,0,0,1,1,0,1,2,0,1,3,3
70,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,6.0,1.0,0.0,1.0,"('r3', 6)","('r3', 6)",1,0,0,0,0,0,0,0,1,1,0,08:17:45,6,2,6,0,0,1,3,0,2,2,0,0,0,0
71,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,6.0,1.0,2.0,2.0,"('c1', 1)","('outside', 0)",0,1,0,0,0,0,0,0,0,1,0,08:18:00,6,1,5,0,0,1,2,1,2,1,1,0,2,0
72,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,5.0,1.0,1.0,1.0,"('c2', 1)","('outside', 0)",1,1,0,0,0,0,0,1,1,0,0,08:18:15,5,2,6,0,0,1,3,0,2,1,0,1,1,0
73,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,8.0,1.0,2.0,1.0,"('c3', 1)","('r3', 5)",0,0,0,0,0,0,0,0,0,0,0,08:18:30,7,0,5,0,0,1,2,1,2,1,0,1,1,1
74,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,3.0,3.0,"('r2', 5)","('outside', 1)",6,1,0,0,0,0,0,0,0,1,1,08:18:45,1,5,4,0,0,1,1,2,2,1,1,0,3,1
75,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,2.0,"('r1', 1)","('outside', 1)",0,0,0,0,0,0,2,2,1,3,0,08:19:00,1,4,3,0,0,1,4,0,2,1,1,1,3,1
76,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,3.0,"('r2', 2)","('outside', 0)",0,0,0,0,0,0,0,0,1,2,1,08:19:15,1,2,4,0,0,1,4,0,3,2,1,1,3,0
77,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,1.0,1.0,2.0,3.0,"('r1', 0)","('r3', 6)",1,2,0,0,0,2,1,0,3,0,1,08:19:30,0,3,6,0,0,1,1,1,1,2,0,3,4,0
78,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,0.0,2.0,"('r2', 2)","('outside', 0)",1,0,0,0,0,0,1,1,1,0,2,08:19:45,1,2,6,0,0,1,3,0,3,4,0,0,2,0
79,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,2.0,"('r2', 3)","('outside', 0)",0,0,0,0,0,0,0,0,2,0,0,08:20:00,1,3,5,0,0,1,1,0,3,4,1,0,3,0
80,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,1.0,1.0,1.0,2.0,"('c3', 1)","('r3', 4)",1,0,0,0,0,0,1,0,0,1,2,08:20:15,0,3,4,0,0,1,2,0,3,5,0,2,1,1
81,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,3.0,"('r7', 1)","('outside', 1)",0,0,0,0,0,2,0,0,1,0,0,08:20:30,1,2,4,0,0,1,1,0,3,5,0,0,4,1
82,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,3.0,"('r7', 1)","('outside', 0)",0,0,0,0,0,0,1,0,0,1,2,08:20:45,1,3,5,0,0,1,1,0,3,5,0,1,2,0
83,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,2.0,"('r7', 2)","('r3', 5)",0,0,0,0,0,0,0,0,0,2,0,08:21:00,1,3,5,0,0,1,2,0,3,5,0,1,1,0
84,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,1.0,1.0,2.0,"('c3', 3)","('c1', 1)",2,1,0,0,0,1,1,0,1,1,2,08:21:15,2,1,4,0,0,1,3,0,4,2,1,1,3,0
85,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,1.0,2.0,1.0,"('r7', 1)","('r4', 0)",0,0,0,0,0,0,1,1,1,1,1,08:21:30,2,3,4,0,0,1,1,1,4,4,0,1,1,0
86,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,2.0,3.0,"('c3', 3)","('c1', 0)",1,0,0,0,0,1,1,0,0,0,1,08:21:45,1,4,3,0,0,1,2,1,3,3,0,0,3,1
87,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,4.0,1.0,2.0,2.0,"('r2', 1)","('r4', 0)",1,0,0,0,0,1,0,0,2,1,1,08:22:00,3,1,3,0,0,1,2,1,2,4,0,1,3,1
88,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,4.0,1.0,2.0,1.0,"('r1', 3)","('r5', 0)",0,0,0,0,0,1,1,1,2,0,1,08:22:15,3,1,3,0,0,1,4,1,3,4,0,1,0,1
89,no motion,no motion,no motion,no motion,no motion,no motion,no motion,motion,no motion,no motion,5.0,1.0,2.0,2.0,"('r2', 0)","('r4', 0)",0,0,0,0,0,0,0,3,1,0,1,08:22:30,4,0,1,0,0,1,3,1,3,4,0,0,2,3
90,no motion,no motion,no motion,no motion,no motion,no motion,no motion,motion,no motion,no motion,2.0,0.0,2.0,3.0,"('c3', 3)","('c1', 0)",3,0,0,0,0,0,0,2,1,1,2,08:22:45,1,4,1,0,0,1,2,1,3,3,0,0,3,3
91,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,3.0,"('c3', 5)","('c2', 0)",2,0,0,0,0,0,0,1,2,0,2,08:23:00,1,4,1,0,0,1,1,0,3,3,0,0,5,3
92,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,1.0,1.0,3.0,"('r10', 4)","('c3', 4)",0,0,0,0,0,0,1,0,0,1,2,08:23:15,2,2,1,0,0,1,1,0,3,4,0,1,4,3
93,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,2.0,"('c2', 0)","('r2', 3)",1,0,0,0,0,2,0,0,0,0,0,08:23:30,1,3,1,0,0,1,3,0,4,3,0,0,3,3
94,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,5.0,"('c3', 7)","('r2', 1)",0,0,0,0,0,0,1,0,2,2,2,08:23:45,1,1,1,0,0,1,1,0,4,2,0,1,7,3
95,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,2.0,"('c3', 1)","('c3', 1)",0,0,0,0,0,1,0,0,3,2,0,08:24:00,1,4,2,0,0,1,3,0,3,2,0,3,1,2
96,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,1.0,2.0,3.0,"('r2', 2)","('r2', 2)",1,0,0,0,0,0,1,0,1,1,0,08:24:15,2,2,1,0,0,1,1,1,3,2,0,1,5,3
97,no motion,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,4.0,1.0,1.0,1.0,"('c3', 2)","('r1', 3)",0,0,0,0,1,0,0,1,2,0,1,08:24:30,3,1,0,0,1,0,6,0,3,1,1,0,2,4
98,no motion,no motion,no motion,no motion,no motion,no motion,no motion,motion,no motion,no motion,3.0,2.0,3.0,3.0,"('r7', 3)","('r1', 3)",0,1,0,1,0,0,0,1,2,0,1,08:24:45,3,1,3,1,0,0,3,1,3,1,0,0,4,2
99,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,4.0,1.0,2.0,3.0,"('r8', 1)","('r1', 3)",0,1,1,0,0,0,0,0,1,2,2,08:25:00,3,1,2,0,0,0,2,1,3,3,2,0,3,2
100,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,3.0,"('r7', 3)","('r2', 4)",2,0,0,0,0,0,0,1,0,1,0,08:25:15,1,4,2,0,0,0,3,0,3,3,0,1,3,2
101,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,2.0,"('r8', 0)","('r2', 4)",0,1,0,0,0,0,0,0,3,0,1,08:25:30,1,4,0,0,0,0,4,0,4,3,1,0,2,3
102,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,2.0,2.0,"('r7', 3)","('r1', 1)",0,0,0,0,0,1,1,0,1,0,0,08:25:45,1,4,1,0,0,0,3,1,3,1,1,2,3,2
